ticker,quarter_end_date,q4_eps,sum_4q,fy_eps,gap,flag
AKR,2023-12-31,-0.01,0.2,0.2,0.0,False
AKR,2024-12-31,0.07,0.18,0.19,0.01,False
AKR,2025-12-31,0.06,0.11,0.1,0.01,False
ALG,2014-12-31,1.0,3.44,3.42,0.02,False
ALG,2015-12-31,0.99,3.75,3.76,0.01,False
ALG,2016-12-31,0.65,3.46,3.46,0.0,False
ALG,2017-12-31,0.28,3.8,3.79,0.01,False
ALG,2018-12-31,1.41,6.25,6.25,0.0,False
ALG,2019-12-31,0.81,5.33,5.33,0.0,False
ALG,2020-12-31,0.68,4.78,4.78,0.0,False
ALG,2021-12-31,1.62,6.75,6.75,0.0,False
ALG,2022-12-31,2.44,8.54,8.54,0.0,False
ALG,2023-12-31,2.63,11.36,11.36,0.0,False
ALG,2024-12-31,2.33,9.63,9.63,0.0,False
ALG,2025-12-31,1.28,8.59,8.59,0.0,False
ALGM,2021-03-26,0.05,1.45,0.1,1.35,True
ALGM,2022-03-25,0.13,0.61,0.62,0.01,False
ALGM,2023-03-31,0.32,0.96,0.97,0.01,False
ALGM,2024-03-29,-0.04,0.78,0.78,0.0,False
ALGM,2025-03-28,-0.08,-0.39,-0.39,0.0,False
ALGM,2026-03-27,-0.09,-0.09,-0.08,0.01,False
ALGT,2014-12-31,0.27,4.79,4.86,0.07,False
ALGT,2015-12-31,3.39,12.93,12.94,0.01,False
ALGT,2016-12-31,2.52,13.24,13.21,0.03,False
ALGT,2017-12-31,5.12,11.95,11.93,0.02,False
ALGT,2018-12-31,2.55,10.01,10.0,0.01,False
ALGT,2019-12-31,3.71,14.26,14.26,0.0,False
ALGT,2020-12-31,-1.79,-11.54,-11.53,0.01,False
ALGT,2021-12-31,0.61,8.7,8.68,0.02,False
ALGT,2022-12-31,2.88,0.1,0.14,0.04,False
ALGT,2023-12-31,-0.09,6.36,6.29,0.07,False
ALGT,2024-12-31,-12.01,-13.38,-13.49,0.11,False
ALGT,2025-12-31,1.76,-2.54,-2.48,0.06,False
ALHC,2021-12-31,-3.8,-8.81,-1.14,7.67,True
ALHC,2022-12-31,-2.94,-5.74,-0.83,4.91,True
ALHC,2023-12-31,-0.25,-0.79,-0.79,0.0,False
