ticker,action,date_or_period,category,confidence,source_url,in_index_universe,in_wider_universe,price_data,check_day,trend_template,rs_pct,fundamentals,breakout_signal,regime_open,passes_all,our_candidate_within_30d,our_trade_within_30d
YETI,BUY,2021-04-06,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,True,True,True,2021-03-22,True,93.1,PASS,False,True,False,,
ZIM,BUY,2021-04-08,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
REVG,DISCUSSED,2021-04-15,discussed,high,https://x.com/markminervini/status/1382710309635362816,False,False,False,,,,,,,,,
UPST,DISCUSSED,2021-05-03,discussed,high,https://x.com/markminervini/status/1389270162407362560,False,False,False,,,,,,,,,
BNTX,BUY,2021-06-02,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
HSKA,BUY,2021-06-04,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
TSP,BUY,2021-06-08,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
PYPL,BUY,2021-06-09,own_trade,low,https://caseystubbs.substack.com/p/how-mark-minervini-won-the-us-investing,False,False,False,,,,,,,,,
AAPL,BUY,2021-06-17,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,True,True,,,,,,,,,
MRNA,BUY,2021-06-25,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
SKY,BUY,2021-07-30,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,True,True,True,2021-07-16,True,81.4,PASS,False,True,False,,
SE,BUY,2021-08,own_trade,low,https://www.benzinga.com/news/21/08/22486960/hearing-sea-named-new-swing-ling-idea-from-trader-mark-minervini-unconfirmed,False,False,False,,,,,,,,,
SNAP,BUY,2021-08,own_trade,low,https://www.benzinga.com/news/21/08/22746288/why-snap-shares-are-rising,False,False,False,,,,,,,,,
SQ,BUY,2021-08,own_trade,medium,https://www.benzinga.com/news/21/08/22350943/square-shares-spike-to-session-high-now-up-2-hearing-tradernewsletter-provider-mark-minervini-issues,False,False,False,,,,,,,,,
SQ,DISCUSSED,2021-08-05,discussed,high,https://x.com/markminervini/status/1423324225495085060,False,False,False,,,,,,,,,
NUE,BUY,2021-08-09,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
